invoice_number,sales_order,amount,currency,payment_status
INV-00133,SO-00165,12194.0,GBP,Paid
INV-00134,SO-00166,1578320.0,INR,Paid
INV-00135,SO-00168,2336420.0,INR,Paid
INV-00136,SO-00169,31409.82,USD,Pending
INV-00137,SO-00170,38043.37,USD,Paid
INV-00138,SO-00171,32377.22,EUR,Paid
INV-00139,SO-00174,511115.0,INR,Pending
INV-00140,SO-00175,37994.58,USD,Paid
INV-00141,SO-00177,35550.67,EUR,Overdue
INV-00142,SO-00178,2751200.0,INR,Paid
INV-00143,SO-00179,35874.94,USD,Pending
INV-00144,SO-00180,17825.78,USD,Paid
INV-00145,SO-00181,4353090.0,INR,Paid
INV-00146,SO-00182,772390.0,INR,Paid
INV-00147,SO-00183,1438248.0,INR,Partially Paid
INV-00148,SO-00185,9693.98,USD,Paid
INV-00149,SO-00188,4542.22,EUR,Paid
INV-00150,SO-00189,1792740.0,INR,Paid
INV-00151,SO-00190,285573.0,INR,Pending
INV-00152,SO-00191,1003835.0,INR,Paid
INV-00153,SO-00192,1178085.0,INR,Paid
INV-00154,SO-00193,8896.39,USD,Partially Paid
INV-00155,SO-00194,102326.39,USD,Overdue
INV-00156,SO-00195,286655.0,INR,Pending
INV-00157,SO-00196,32505.18,USD,Paid
INV-00158,SO-00197,21739.22,USD,Partially Paid
INV-00159,SO-00199,6176.64,USD,Paid
INV-00160,SO-00201,1468440.0,INR,Paid
INV-00161,SO-00203,23393.13,USD,Paid
INV-00162,SO-00204,18410.36,USD,Pending
INV-00163,SO-00205,5589.72,USD,Pending
INV-00164,SO-00206,63255.42,USD,Paid
INV-00165,SO-00207,746496.0,INR,Pending
INV-00166,SO-00208,13830.07,USD,Overdue
INV-00167,SO-00209,400500.0,INR,Paid
INV-00168,SO-00210,35326.99,USD,Paid
INV-00169,SO-00211,19236.83,EUR,Paid
INV-00170,SO-00212,29233.01,USD,Partially Paid
INV-00171,SO-00213,5222000.0,INR,Paid
INV-00172,SO-00214,833590.0,INR,Paid
INV-00173,SO-00215,354240.0,INR,Paid
INV-00174,SO-00217,1404100.0,INR,Pending
INV-00175,SO-00218,6058.92,USD,Paid
INV-00176,SO-00221,3044370.0,INR,Paid
INV-00177,SO-00222,926088.0,INR,Paid
INV-00178,SO-00223,52289.52,GBP,Paid
INV-00179,SO-00224,7722.38,GBP,Paid
INV-00180,SO-00225,4474000.0,INR,Paid
INV-00181,SO-00226,4090900.0,INR,Paid
INV-00182,SO-00228,34053.78,EUR,Partially Paid
INV-00183,SO-00229,14954.99,USD,Partially Paid
INV-00184,SO-00230,919080.0,INR,Overdue
INV-00185,SO-00231,2839410.0,INR,Paid
INV-00186,SO-00232,4962270.0,INR,Paid
INV-00187,SO-00233,1090870.0,INR,Partially Paid
INV-00188,SO-00234,14896.02,USD,Paid
INV-00189,SO-00235,8454.46,USD,Partially Paid
INV-00190,SO-00236,13300.57,GBP,Pending
INV-00191,SO-00237,18043550.0,INR,Pending
INV-00192,SO-00238,37530.6,USD,Overdue
INV-00193,SO-00239,878016.0,INR,Pending
INV-00194,SO-00240,3690.43,EUR,Paid
INV-00195,SO-00241,110282.22,EUR,Partially Paid
INV-00196,SO-00242,42034.46,USD,Pending
INV-00197,SO-00243,51189.76,USD,Paid
INV-00198,SO-00244,7105.36,USD,Partially Paid
INV-00199,SO-00245,2668590.0,INR,Overdue
INV-00200,SO-00246,7284650.0,INR,Paid
INV-00201,SO-00247,91506.67,EUR,Paid
INV-00202,SO-00248,7748100.0,INR,Paid
INV-00203,SO-00249,764030.0,INR,Paid
INV-00204,SO-00250,22397.69,USD,Pending
INV-00205,SO-00252,46932.05,USD,Pending
INV-00206,SO-00253,297597.0,INR,Paid
INV-00207,SO-00254,54241.57,USD,Overdue
INV-00208,SO-00255,11398.37,USD,Partially Paid
INV-00209,SO-00257,1573248.0,INR,Paid
INV-00210,SO-00258,12856.81,USD,Paid
INV-00211,SO-00259,7644.43,USD,Partially Paid
INV-00212,SO-00260,6807.83,EUR,Overdue
INV-00213,SO-00261,434814.0,INR,Paid
INV-00214,SO-00262,3711.87,USD,Paid
INV-00215,SO-00263,10235.57,USD,Pending
INV-00216,SO-00264,581385.0,INR,Paid
INV-00217,SO-00266,1748010.0,INR,Pending
INV-00218,SO-00267,18854.22,USD,Paid
INV-00219,SO-00268,347736.0,INR,Pending
INV-00220,SO-00269,13854.89,EUR,Paid
INV-00221,SO-00271,355430.0,INR,Partially Paid
INV-00222,SO-00273,4127150.0,INR,Partially Paid
INV-00223,SO-00275,6329550.0,INR,Paid
INV-00224,SO-00276,4094180.0,INR,Paid
INV-00225,SO-00278,36943.83,EUR,Paid
INV-00226,SO-00280,1650016.0,INR,Paid
INV-00227,SO-00282,18571.99,USD,Partially Paid
INV-00228,SO-00283,19594.29,GBP,Paid
INV-00229,SO-00284,75540.96,USD,Paid
INV-00230,SO-00285,4764.05,USD,Paid
INV-00231,SO-00286,3895360.0,INR,Paid
INV-00232,SO-00287,44053.98,USD,Paid
INV-00233,SO-00288,635904.0,INR,Pending
INV-00234,SO-00289,333165.0,INR,Partially Paid
INV-00235,SO-00290,20627.22,EUR,Paid
INV-00236,SO-00292,5006460.0,INR,Paid
INV-00237,SO-00293,27812.29,USD,Partially Paid
INV-00238,SO-00294,16160.06,USD,Paid
INV-00239,SO-00295,519765.0,INR,Paid
INV-00240,SO-00296,1712490.0,INR,Paid
INV-00241,SO-00299,13730.22,EUR,Overdue
INV-00242,SO-00300,1216275.0,INR,Pending
INV-00243,SO-00301,55193.33,GBP,Paid
INV-00244,SO-00303,845695.0,INR,Pending
INV-00245,SO-00305,6501.61,USD,Pending
INV-00246,SO-00306,4411650.0,INR,Pending
INV-00247,SO-00308,8320.89,EUR,Overdue
INV-00248,SO-00310,241850.0,INR,Pending
INV-00249,SO-00311,3004.4,EUR,Pending
INV-00250,SO-00312,1822800.0,INR,Paid
INV-00251,SO-00313,2944290.0,INR,Paid
INV-00252,SO-00314,44395.56,EUR,Paid
INV-00253,SO-00315,6798.73,USD,Pending
INV-00254,SO-00317,3039.11,USD,Paid
INV-00255,SO-00318,2454540.0,INR,Partially Paid
INV-00256,SO-00320,969000.0,INR,Pending
INV-00257,SO-00321,3304050.0,INR,Paid
INV-00258,SO-00322,53477.35,USD,Partially Paid
INV-00259,SO-00323,2212830.0,INR,Partially Paid
INV-00260,SO-00324,27388.19,USD,Paid
INV-00261,SO-00325,66668.67,USD,Overdue
INV-00262,SO-00326,2876670.0,INR,Paid
INV-00263,SO-00327,22157.78,EUR,Partially Paid
INV-00264,SO-00328,11753.01,USD,Pending
INV-00265,SO-00329,27615.54,USD,Partially Paid
INV-00266,SO-00330,38093.81,GBP,Paid
INV-00267,SO-00332,252246.0,INR,Pending
INV-00268,SO-00333,35719.52,USD,Paid
INV-00269,SO-00334,881883.0,INR,Overdue
INV-00270,SO-00335,36374.46,USD,Overdue
INV-00271,SO-00337,1273800.0,INR,Paid
INV-00272,SO-00338,1899000.0,INR,Pending
INV-00273,SO-00340,628945.0,INR,Pending
INV-00274,SO-00341,1941945.0,INR,Partially Paid
INV-00275,SO-00343,4347.83,USD,Overdue
INV-00276,SO-00344,15284.44,EUR,Paid
INV-00277,SO-00345,4770400.0,INR,Paid
INV-00278,SO-00347,25794.94,USD,Paid
INV-00279,SO-00348,3975.17,EUR,Paid
INV-00280,SO-00349,7900.82,USD,Paid
INV-00281,SO-00350,20918.1,GBP,Paid
INV-00282,SO-00351,27925.78,USD,Paid
INV-00283,SO-00352,4875400.0,INR,Paid
INV-00284,SO-00353,56905.33,EUR,Pending
INV-00285,SO-00354,79792.05,USD,Paid
INV-00286,SO-00355,5277500.0,INR,Pending
INV-00287,SO-00356,25186.67,EUR,Pending
INV-00288,SO-00357,10126.2,USD,Paid
INV-00289,SO-00358,5894.38,GBP,Paid
INV-00290,SO-00359,16113.61,USD,Paid
INV-00291,SO-00360,3598.12,USD,Partially Paid
INV-00292,SO-00361,31332.05,USD,Overdue
INV-00293,SO-00362,16411.27,USD,Paid
INV-00294,SO-00364,7057.83,USD,Overdue
INV-00295,SO-00365,7954.76,EUR,Pending
INV-00296,SO-00366,2811760.0,INR,Overdue
INV-00297,SO-00369,39886.29,GBP,Pending
INV-00298,SO-00370,919880.0,INR,Paid
INV-00299,SO-00371,198336.0,INR,Paid
INV-00300,SO-00372,831624.0,INR,Pending
INV-00301,SO-00374,274971.0,INR,Pending
INV-00302,SO-00375,442445.0,INR,Partially Paid
INV-00303,SO-00376,23720.89,EUR,Paid
INV-00304,SO-00377,116786.11,EUR,Partially Paid
INV-00305,SO-00378,43219.88,USD,Paid
INV-00306,SO-00379,3359100.0,INR,Paid
INV-00307,SO-00380,595990.0,INR,Paid
INV-00308,SO-00381,38231.81,USD,Paid
INV-00309,SO-00383,432320.0,INR,Paid
INV-00310,SO-00384,13940.72,USD,Overdue
INV-00311,SO-00386,39233.13,USD,Paid
INV-00312,SO-00387,15462.67,EUR,Paid
INV-00313,SO-00388,251106.0,INR,Paid
INV-00314,SO-00389,2759.97,EUR,Paid
INV-00315,SO-00390,8701000.0,INR,Partially Paid
INV-00316,SO-00391,10998.25,USD,Pending
INV-00317,SO-00392,4541.59,USD,Pending
INV-00318,SO-00393,1203400.0,INR,Paid
INV-00319,SO-00394,28209.14,GBP,Paid
INV-00320,SO-00395,8370250.0,INR,Paid
INV-00321,SO-00396,77412.38,GBP,Paid
INV-00322,SO-00397,15623.67,EUR,Paid
INV-00323,SO-00398,1748010.0,INR,Paid
INV-00324,SO-00399,1315725.0,INR,Overdue
INV-00325,SO-00400,22304.17,EUR,Paid
INV-00326,SO-00401,10813.69,EUR,Paid
INV-00327,SO-00402,1787250.0,INR,Partially Paid
INV-00328,SO-00403,320088.0,INR,Overdue
INV-00329,SO-00404,5332.12,USD,Overdue
INV-00330,SO-00407,2978480.0,INR,Paid
INV-00331,SO-00408,65458.33,EUR,Partially Paid
INV-00332,SO-00409,4734.88,USD,Paid
INV-00333,SO-00410,966720.0,INR,Pending
INV-00334,SO-00411,3054240.0,INR,Paid
INV-00335,SO-00412,364914.0,INR,Pending
INV-00336,SO-00413,789010.0,INR,Paid
INV-00337,SO-00416,1050040.0,INR,Paid
INV-00338,SO-00417,12583.13,USD,Overdue
INV-00339,SO-00418,18979.34,USD,Partially Paid
INV-00340,SO-00419,4896.14,USD,Pending
INV-00341,SO-00420,387093.0,INR,Pending
INV-00342,SO-00421,81046.39,USD,Paid
INV-00343,SO-00422,3512740.0,INR,Pending
INV-00344,SO-00423,819885.0,INR,Paid
INV-00345,SO-00424,16354.7,USD,Partially Paid
INV-00346,SO-00425,60061.43,GBP,Paid
INV-00347,SO-00426,11818.11,EUR,Paid
INV-00348,SO-00427,186423.0,INR,Overdue
INV-00349,SO-00428,82260.48,GBP,Pending
INV-00350,SO-00432,2620300.0,INR,Paid
INV-00351,SO-00434,7328.55,USD,Paid
INV-00352,SO-00435,15669.01,USD,Paid
INV-00353,SO-00436,1039530.0,INR,Paid
INV-00354,SO-00437,69235.54,USD,Pending
INV-00355,SO-00438,1923220.0,INR,Pending
INV-00356,SO-00439,1107130.0,INR,Paid
INV-00357,SO-00440,8102.94,USD,Paid
INV-00358,SO-00441,7742460.0,INR,Paid
INV-00359,SO-00442,53184.76,GBP,Overdue
INV-00360,SO-00443,1059480.0,INR,Partially Paid
INV-00361,SO-00444,19556.63,USD,Pending
INV-00362,SO-00445,25080.33,EUR,Paid
INV-00363,SO-00446,9216.63,USD,Paid
INV-00364,SO-00447,2025030.0,INR,Overdue
INV-00365,SO-00448,702960.0,INR,Pending
INV-00366,SO-00450,21752.17,USD,Paid
INV-00367,SO-00451,1973040.0,INR,Paid
INV-00368,SO-00452,11420200.0,INR,Overdue
INV-00369,SO-00453,36260.33,EUR,Partially Paid
INV-00370,SO-00455,7089.22,EUR,Pending
INV-00371,SO-00458,2576010.0,INR,Paid
INV-00372,SO-00459,3020.78,EUR,Paid
INV-00373,SO-00460,1272495.0,INR,Paid
INV-00374,SO-00461,7957.33,GBP,Paid
INV-00375,SO-00464,15292.89,EUR,Pending
INV-00376,SO-00465,2389815.0,INR,Pending
INV-00377,SO-00467,2918.02,USD,Paid
INV-00378,SO-00469,3858600.0,INR,Paid
INV-00379,SO-00470,3330.06,USD,Overdue
INV-00380,SO-00472,1647840.0,INR,Paid
INV-00381,SO-00473,9577650.0,INR,Paid
INV-00382,SO-00476,3671.17,EUR,Paid
INV-00383,SO-00477,26907.35,USD,Overdue
INV-00384,SO-00478,38020.24,USD,Paid
INV-00385,SO-00479,64437.78,EUR,Overdue
INV-00386,SO-00480,8004.98,EUR,Pending
INV-00387,SO-00481,5519.71,USD,Pending
INV-00388,SO-00482,13635.66,USD,Pending
INV-00389,SO-00483,725230.0,INR,Pending
INV-00390,SO-00484,7164.78,EUR,Paid
INV-00391,SO-00485,698255.0,INR,Paid
INV-00392,SO-00486,15391.11,EUR,Paid
INV-00393,SO-00487,16210.36,USD,Partially Paid
INV-00394,SO-00490,1674040.0,INR,Paid
INV-00395,SO-00492,17462.53,USD,Pending
INV-00396,SO-00493,3513240.0,INR,Paid
INV-00397,SO-00494,23722.65,USD,Paid
INV-00398,SO-00495,2165220.0,INR,Overdue
INV-00399,SO-00496,3869.22,EUR,Pending
INV-00400,SO-00498,3210480.0,INR,Pending
INV-00401,SO-00499,315057.0,INR,Partially Paid
INV-00402,SO-00500,7529750.0,INR,Overdue
INV-00403,SO-00502,26451.33,USD,Paid
INV-00404,SO-00503,781688.0,INR,Pending
INV-00405,SO-00504,675390.0,INR,Paid
INV-00406,SO-00505,3432920.0,INR,Paid
INV-00407,SO-00506,189195.0,INR,Partially Paid
INV-00408,SO-00509,17226.22,EUR,Paid
INV-00409,SO-00510,775940.0,INR,Overdue
INV-00410,SO-00513,1541056.0,INR,Paid
INV-00411,SO-00514,560370.0,INR,Partially Paid
INV-00412,SO-00515,9919.52,USD,Pending
INV-00413,SO-00516,764250.0,INR,Partially Paid
INV-00414,SO-00518,1653390.0,INR,Pending
INV-00415,SO-00519,947280.0,INR,Partially Paid
INV-00416,SO-00520,2091900.0,INR,Partially Paid
INV-00417,SO-00522,6851.66,USD,Paid
INV-00418,SO-00523,67667.47,USD,Paid
INV-00419,SO-00524,19793.01,USD,Paid
INV-00420,SO-00525,13849.28,USD,Paid
INV-00421,SO-00526,617780.0,INR,Pending
INV-00422,SO-00528,64435.0,EUR,Paid
INV-00423,SO-00530,115900.29,GBP,Overdue
INV-00424,SO-00532,1255530.0,INR,Partially Paid
INV-00425,SO-00533,32172.33,EUR,Paid
INV-00426,SO-00535,8149.67,EUR,Pending
INV-00427,SO-00536,2057360.0,INR,Paid
INV-00428,SO-00537,2508.03,EUR,Partially Paid
INV-00429,SO-00539,8282.53,USD,Pending
INV-00430,SO-00540,2645430.0,INR,Overdue
INV-00431,SO-00541,1243080.0,INR,Paid
INV-00432,SO-00542,5961200.0,INR,Paid
INV-00433,SO-00543,296088.0,INR,Pending
INV-00434,SO-00544,2214240.0,INR,Pending
INV-00435,SO-00545,3194.64,USD,Partially Paid
INV-00436,SO-00546,24191.73,EUR,Paid
INV-00437,SO-00548,4441.87,USD,Paid
INV-00438,SO-00549,9071.99,USD,Paid
INV-00439,SO-00551,2924000.0,INR,Paid
INV-00440,SO-00552,438510.0,INR,Paid
INV-00441,SO-00553,46617.14,GBP,Paid
INV-00442,SO-00554,5454350.0,INR,Pending
INV-00443,SO-00555,198636.0,INR,Pending
INV-00444,SO-00557,7482050.0,INR,Paid
INV-00445,SO-00559,20086.51,USD,Partially Paid
INV-00446,SO-00560,2785710.0,INR,Paid
INV-00447,SO-00561,2309745.0,INR,Paid
INV-00448,SO-00562,66935.67,EUR,Paid
INV-00449,SO-00563,2526.47,USD,Partially Paid
INV-00450,SO-00566,3201810.0,INR,Paid
INV-00451,SO-00567,1161880.0,INR,Pending
INV-00452,SO-00570,61906.63,USD,Paid
INV-00453,SO-00572,204573.0,INR,Overdue
INV-00454,SO-00573,27655.42,USD,Partially Paid
INV-00455,SO-00575,1589760.0,INR,Paid
INV-00456,SO-00576,2002.03,EUR,Paid
INV-00457,SO-00577,1024296.0,INR,Paid
INV-00458,SO-00578,42587.35,USD,Partially Paid
INV-00459,SO-00579,1197585.0,INR,Paid
INV-00460,SO-00580,21862.77,USD,Paid
INV-00461,SO-00581,9199.52,USD,Pending
INV-00462,SO-00582,6078.55,USD,Paid
INV-00463,SO-00583,2944250.0,INR,Paid
INV-00464,SO-00585,14109.4,USD,Pending
INV-00465,SO-00586,26714.5,EUR,Overdue
INV-00466,SO-00587,455700.0,INR,Pending
INV-00467,SO-00589,1689200.0,INR,Paid
INV-00468,SO-00590,10142.83,EUR,Paid
INV-00469,SO-00591,5535650.0,INR,Pending
INV-00470,SO-00592,1443615.0,INR,Overdue
INV-00471,SO-00593,7809.05,GBP,Partially Paid
INV-00472,SO-00594,11524.11,EUR,Pending
INV-00473,SO-00595,157016.27,USD,Paid
INV-00474,SO-00596,1476160.0,INR,Paid
INV-00475,SO-00597,60039.04,USD,Paid
INV-00476,SO-00598,2679855.0,INR,Overdue
INV-00477,SO-00599,42807.11,EUR,Paid
INV-00478,SO-00600,7732.63,USD,Paid
INV-00479,SO-00601,801496.0,INR,Paid
INV-00480,SO-00604,942750.0,INR,Partially Paid
INV-00481,SO-00605,40096.67,EUR,Overdue
INV-00482,SO-00607,38115.06,USD,Paid
INV-00483,SO-00608,72765.66,USD,Paid
INV-00484,SO-00609,54546.75,USD,Pending
INV-00485,SO-00610,6672.53,EUR,Paid
INV-00486,SO-00612,23627.35,USD,Paid
INV-00487,SO-00613,2383040.0,INR,Paid
INV-00488,SO-00614,853952.0,INR,Paid
INV-00489,SO-00616,358640.0,INR,Pending
INV-00490,SO-00617,45692.33,EUR,Pending
INV-00491,SO-00618,5617.9,GBP,Paid
INV-00492,SO-00619,693490.0,INR,Paid
INV-00493,SO-00620,38582.17,USD,Pending
INV-00494,SO-00622,22331.81,USD,Pending
INV-00495,SO-00624,20112.19,GBP,Pending
INV-00496,SO-00625,18555.33,EUR,Paid
INV-00497,SO-00626,2378.93,USD,Paid
INV-00498,SO-00629,7072.19,GBP,Paid
INV-00499,SO-00630,55215.06,USD,Paid
INV-00500,SO-00631,471375.0,INR,Paid
INV-00501,SO-00632,10262.76,EUR,Partially Paid
INV-00502,SO-00633,20748.09,EUR,Paid
INV-00503,SO-00634,506691.0,INR,Partially Paid
INV-00504,SO-00635,25526.39,USD,Partially Paid
INV-00505,SO-00638,2111430.0,INR,Partially Paid
INV-00506,SO-00640,80329.52,USD,Pending
INV-00507,SO-00641,5273.93,USD,Pending
INV-00508,SO-00642,9990.18,USD,Partially Paid
INV-00509,SO-00643,8369.88,USD,Paid
INV-00510,SO-00645,3195200.0,INR,Paid
INV-00511,SO-00647,652632.0,INR,Paid
INV-00512,SO-00648,45048.0,EUR,Pending
INV-00513,SO-00649,160743.0,INR,Overdue
INV-00514,SO-00650,1885530.0,INR,Paid
INV-00515,SO-00652,11667.65,USD,Pending
INV-00516,SO-00654,7438.27,USD,Paid
INV-00517,SO-00655,9205.3,USD,Paid
INV-00518,SO-00656,10780.24,USD,Pending
INV-00519,SO-00658,4215.84,USD,Overdue
INV-00520,SO-00661,1251920.0,INR,Overdue
INV-00521,SO-00662,21050.67,EUR,Pending
INV-00522,SO-00664,35320.67,EUR,Paid
INV-00523,SO-00665,20909.14,GBP,Paid
INV-00524,SO-00666,39216.69,USD,Paid
INV-00525,SO-00667,265704.0,INR,Overdue
INV-00526,SO-00669,2015350.0,INR,Paid
INV-00527,SO-00671,26880.17,EUR,Partially Paid
INV-00528,SO-00672,6550.48,GBP,Paid
INV-00529,SO-00675,924744.0,INR,Paid
INV-00530,SO-00676,26045.9,USD,Overdue
INV-00531,SO-00677,252896.0,INR,Pending
INV-00532,SO-00678,14963.01,USD,Paid
INV-00533,SO-00679,4360.37,GBP,Paid
INV-00534,SO-00680,327040.0,INR,Pending
INV-00535,SO-00681,5544.61,USD,Paid
INV-00536,SO-00682,7589.7,USD,Paid
INV-00537,SO-00683,40748.33,EUR,Paid
INV-00538,SO-00684,33001.17,EUR,Paid
INV-00539,SO-00686,4778.64,USD,Pending
INV-00540,SO-00688,3593.53,EUR,Pending
INV-00541,SO-00689,4607.71,USD,Paid
INV-00542,SO-00690,9066.45,USD,Overdue
INV-00543,SO-00691,26630.24,USD,Partially Paid
INV-00544,SO-00692,4511.33,USD,Paid
INV-00545,SO-00693,3024350.0,INR,Pending
INV-00546,SO-00694,43701.33,EUR,Pending
INV-00547,SO-00696,32014.46,USD,Paid
INV-00548,SO-00697,7268.82,USD,Overdue
INV-00549,SO-00700,27737.14,GBP,Paid
INV-00550,SO-00701,19021.9,GBP,Overdue
INV-00551,SO-00702,2319760.0,INR,Paid
INV-00552,SO-00703,9425.89,EUR,Partially Paid
INV-00553,SO-00704,75061.2,USD,Paid
INV-00554,SO-00705,1801780.0,INR,Pending
INV-00555,SO-00706,3429200.0,INR,Partially Paid
INV-00556,SO-00707,51549.67,EUR,Pending
INV-00557,SO-00708,12478.36,USD,Pending
INV-00558,SO-00709,80278.31,USD,Paid
