style_number,style_name,category,fabric,gsm,color,print,season,brand,supplier,cost,selling_price,image_url
WFX-2526,Signature Teal Trousers,Trousers,Poly/Viscose Suiting,218,Teal,Solid,AW25,Loom & Co,Jakarta Garmindo,572.61,1549.62,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/bed78b94-b7d5-4e2a-befb-684dba950ec7.jpg
WFX-2527,Cropped Navy Skirt,Skirt,Denim 10oz,183,Navy,Solid,SS26,Kaia Collective,ABC Textiles,626.99,1385.2,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/6b6416d0-7fae-4858-ba58-f0420302a1b2.jpg
WFX-2528,Vintage Grey Melange Trousers,Trousers,Chino Twill,268,Grey Melange,Solid,AW26,Cotton Culture,Jakarta Garmindo,617.95,1235.24,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/f2d0654b-aae0-4b40-9e32-50e499c48182.jpg
WFX-2529,Classic Black T-Shirt,T-Shirt,Cotton/Polyester 60/40,213,Black,Solid,SS26,Kaia Collective,Karachi Textile Mills,245.74,645.61,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/19088710-43ac-467e-85c9-e1094db4f499.jpg
WFX-2530,Boxy Charcoal Polo,Polo,Cotton/Spandex 95/5,222,Charcoal,Printed,SS25,Meridian Apparel,Tirupur Garments Co,487.72,1161.96,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/45fb7ce0-9203-4f83-9554-49ddb0f15929.jpg
WFX-2531,Classic Charcoal Skirt,Skirt,Cotton Twill,251,Charcoal,Solid,AW25,Everlane East,Istanbul Denim House,595.76,1024.5,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/84e4d60a-a684-4b88-b86e-dfac84cfac92.jpg
WFX-2532,Athleisure Black Trousers,Trousers,Cotton Twill,209,Black,Solid,AW26,Loom & Co,Hanoi Stitch Co,611.27,1688.97,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/c362d096-021d-4948-81ef-c2a971dc0998.jpg
WFX-2533,Tailored Charcoal Jacket,Jacket,Cotton Canvas,301,Charcoal,Solid,SS25,Loom & Co,Istanbul Denim House,1264.12,3368.79,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/c0ded3c7-3305-4f10-a2ce-f365e84fdce8.jpg
WFX-2534,Heritage Charcoal T-Shirt,T-Shirt,Organic Cotton,169,Charcoal,Solid,SS25,Kaia Collective,Dhaka Knitwear Ltd,336.69,714.04,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/43306208-256a-4de5-b517-28f83b30778f.jpg
WFX-2535,Cropped Navy Sweatshirt,Sweatshirt,Cotton Fleece,298,Navy,Solid,SS26,Cotton Culture,ABC Textiles,761.37,1260.21,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/fb18aa4f-0f3c-4e14-bf75-7593b010914f.jpg
WFX-2536,Slim Fit Black Hoodie,Hoodie,Cotton Fleece,311,Black,Solid,AW25,Loom & Co,Tirupur Garments Co,689.02,1570.35,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/2d7142fc-f67a-443c-885a-62b5ebe034f1.jpg
WFX-2537,Relaxed Black Hoodie,Hoodie,French Terry,367,Black,Printed,AW26,NorthPeak,Tirupur Garments Co,558.37,1505.03,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/5f03aa74-bd9c-4d02-a794-1a9b9c01ac9d.jpg
WFX-2538,Heritage Off White T-Shirt,T-Shirt,Organic Cotton,141,Off White,Solid,AW25,Loom & Co,Colombo Apparel Group,374.73,808.78,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/911a104e-2ca1-4983-a732-7cff59fcbec1.jpg
WFX-2539,Cropped Olive Shirt,Shirt,Linen,147,Olive,Solid,AW26,NorthPeak,Guangzhou Weave Co,419.66,1155.93,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ce8e34bd-d8eb-4d1f-8835-187b2c36ddd1.jpg
WFX-2540,Essential Charcoal Hoodie,Hoodie,Cotton/Polyester Fleece 80/20,389,Charcoal,Printed,SS26,NorthPeak,Phnom Penh Sewing Ltd,667.44,1257.89,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/4bc5985c-fb6e-4ebf-83ad-2bf16f79ece0.jpg
WFX-2541,Classic Charcoal Shirt,Shirt,Cotton/Linen 70/30,127,Charcoal,Printed,AW26,NorthPeak,Guangzhou Weave Co,303.24,799.97,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ff0535f7-c9f4-47f7-8aae-373aa3e09f04.jpg
WFX-2542,Athleisure Charcoal Trousers,Trousers,Cotton Twill,277,Charcoal,Solid,SS26,Meridian Apparel,Shenzhen Fashion Works,760.87,1417.35,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/9a858530-6e0d-4bf0-8900-42055c64ddaf.jpg
WFX-2543,Essential Black Jeans,Jeans,Stretch Denim 98/2,350,Black,Solid,AW25,Loom & Co,Phnom Penh Sewing Ltd,685.36,1459.12,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/5795a645-45b8-423a-887a-f8af020fa08d.jpg
WFX-2544,Essential Pink Dress,Dress,Cotton Voile,153,Pink,Solid,SS26,Meridian Apparel,Jakarta Garmindo,446.6,785.39,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/968e1bb6-5441-4bb6-b56b-6b066dd2423e.jpg
WFX-2545,Boxy Teal Dress,Dress,Polyester Crepe,137,Teal,Printed,SS25,Meridian Apparel,Dhaka Knitwear Ltd,760.61,1526.13,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/3c4bedd6-1073-4d9d-bb06-031f865f0846.jpg
WFX-2546,Essential Off White Hoodie,Hoodie,French Terry,372,Off White,Solid,SS25,Everlane East,Jakarta Garmindo,753.48,1564.9,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/6edf8ea5-3b1d-4974-b65e-2b1ee2ccd9b1.jpg
WFX-2547,Heritage Off White Shirt,Shirt,Linen,144,Off White,Solid,SS26,Everlane East,Guangzhou Weave Co,349.44,713.66,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ecf9e2cb-7ad2-4fae-918e-b96a6b208dcf.jpg
WFX-2548,Tailored Black Trousers,Trousers,Chino Twill,213,Black,Solid,SS26,Vastra Studio,Phnom Penh Sewing Ltd,703.68,1524.01,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/9f0338d5-37b9-4837-964d-d68fa08cec3b.jpg
WFX-2549,Classic Black T-Shirt,T-Shirt,Cotton Slub,178,Black,Solid,SS26,Kaia Collective,ABC Textiles,312.31,543.42,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/28709ef4-cebf-40c5-8347-f59932bf9323.jpg
WFX-2550,Essential Navy T-Shirt,T-Shirt,100% Cotton,170,Navy,Printed,AW26,Meridian Apparel,Istanbul Denim House,371.81,655.43,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/7ac0ac0e-6c82-4e13-890e-5186a62b7807.jpg
WFX-2551,Classic Black T-Shirt,T-Shirt,100% Cotton,202,Black,Solid,SS26,Vastra Studio,Colombo Apparel Group,303.91,828.72,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/638f066a-218c-4850-9771-4883a908d6a3.jpg
WFX-2552,Essential Black Jacket,Jacket,Cotton Canvas,280,Black,Solid,SS26,UrbanThread,Noida Knits Pvt Ltd,1469.91,2527.11,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/369fa09e-1fdd-4844-8814-fb1e18ace137.jpg
WFX-2553,Oversized Charcoal Polo,Polo,Cotton/Spandex 95/5,192,Charcoal,Solid,AW25,UrbanThread,Istanbul Denim House,540.46,1480.22,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/7cd60bfb-f76a-4a28-b900-96da6b3c2633.jpg
WFX-2554,Oversized Black Skirt,Skirt,Polyester Crepe,171,Black,Solid,AW25,Vastra Studio,Shenzhen Fashion Works,646.09,1643.89,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/32b99302-cec7-4dec-adfa-3d4029674209.jpg
WFX-2555,Slim Fit Navy Jacket,Jacket,Denim 12oz,257,Navy,Printed,AW25,NorthPeak,Colombo Apparel Group,1409.78,3263.89,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ed28db5a-db33-4f80-ace3-16f945f7911a.jpg
WFX-2556,Athleisure Red T-Shirt,T-Shirt,100% Cotton,143,Red,Solid,SS26,UrbanThread,Shenzhen Fashion Works,182.95,371.37,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/844083b8-2610-413c-9c41-2bd1440b797e.jpg
WFX-2557,Signature Pink T-Shirt,T-Shirt,Organic Cotton,146,Pink,Solid,SS25,Kaia Collective,Dhaka Knitwear Ltd,181.69,382.49,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/60831e34-cafa-418e-9531-3818ee3db1f7.jpg
WFX-2558,Athleisure Black Dress,Dress,Cotton Voile,165,Black,Solid,SS25,NorthPeak,Shenzhen Fashion Works,676.52,1449.38,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/04f0b07f-4b9f-4c55-bc5d-b693658fb32c.jpg
WFX-2559,Heritage Black Jacket,Jacket,Nylon Taslan,235,Black,Solid,SS25,Kaia Collective,Karachi Textile Mills,1598.73,4183.49,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/172a91db-cadc-4c64-85bb-4ac704ea686d.jpg
WFX-2560,Slim Fit Grey Melange Skirt,Skirt,Cotton Twill,255,Grey Melange,Solid,SS26,Cotton Culture,Dhaka Knitwear Ltd,328.28,764.88,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/284149a9-e71e-4955-8228-7511fa592bc1.jpg
WFX-2561,Oversized Sky Blue Polo,Polo,Polyester Pique,213,Sky Blue,Solid,SS25,Vastra Studio,Karachi Textile Mills,338.47,746.89,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/85287925-224a-4f67-b34d-507b3859f962.jpg
WFX-2562,Vintage Sky Blue Shorts,Shorts,Nylon Ripstop,273,Sky Blue,Solid,AW26,Loom & Co,Istanbul Denim House,318.55,639.24,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/de9cb15f-6aa5-4674-8b59-32370338dcef.jpg
WFX-2563,Heritage Grey Melange Sweatshirt,Sweatshirt,Loopback Cotton,300,Grey Melange,Solid,AW26,Loom & Co,Tirupur Garments Co,666.04,1364.82,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ae1ade07-d523-480c-8d2b-09c5722f9edf.jpg
WFX-2564,Slim Fit Coral Dress,Dress,Viscose,111,Coral,Printed,SS25,Cotton Culture,Hanoi Stitch Co,587.53,1465.01,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/b8fe46bc-4781-4ab7-9a99-92374566f61c.jpg
WFX-2565,Signature Charcoal Jacket,Jacket,Cotton Canvas,310,Charcoal,Solid,SS25,NorthPeak,Karachi Textile Mills,1486.25,4056.51,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/a8f68926-3732-4af2-a44e-e90da223bdd6.jpg
WFX-2566,Boxy Brown Jacket,Jacket,Denim 12oz,246,Brown,Solid,AW25,Loom & Co,Noida Knits Pvt Ltd,1220.13,2263.69,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/0dcd999b-417d-4c1c-bfd2-26cc425c9267.jpg
WFX-2567,Tailored Grey Melange Jacket,Jacket,Denim 12oz,249,Grey Melange,Solid,SS25,NorthPeak,Karachi Textile Mills,1386.35,3173.24,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/097b9af0-483a-4b41-991c-3468877db077.jpg
WFX-2568,Essential Grey Melange Shirt,Shirt,Oxford Cotton,127,Grey Melange,Solid,SS25,Meridian Apparel,Hanoi Stitch Co,581.08,1145.18,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/c98e8dd6-3fd0-415c-a124-fe6aa1955b74.jpg
WFX-2569,Classic Black Sweatshirt,Sweatshirt,Cotton Fleece,344,Black,Solid,SS25,Vastra Studio,Noida Knits Pvt Ltd,560.31,991.89,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/4abdc9ad-fc79-4ea8-8d09-337a4f50c6e6.jpg
WFX-2570,Essential Charcoal Polo,Polo,Cotton/Spandex 95/5,209,Charcoal,Solid,SS25,UrbanThread,Guangzhou Weave Co,352.27,720.06,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ee172193-e1fe-445b-a264-176091b3e02a.jpg
WFX-2571,Boxy Sky Blue Shorts,Shorts,Cotton Twill,256,Sky Blue,Solid,AW26,Kaia Collective,Colombo Apparel Group,435.35,1048.65,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/e64eb874-e12f-4802-9a14-4a10271b48fa.jpg
WFX-2572,Vintage Black Jacket,Jacket,Cotton Canvas,289,Black,Printed,SS25,NorthPeak,Hanoi Stitch Co,894.01,1980.07,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/a801e237-8e93-429c-8699-4952420f5415.jpg
WFX-2573,Classic Sky Blue Shirt,Shirt,Chambray,152,Sky Blue,Solid,SS25,Vastra Studio,Phnom Penh Sewing Ltd,423.37,789.43,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/1fd8e843-be30-4d20-a386-909b3f89c075.jpg
WFX-2574,Classic Black Jacket,Jacket,Polyester Shell,255,Black,Printed,AW26,Everlane East,Dhaka Knitwear Ltd,1387.74,2702.4,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/1d419bc1-c0a7-40b3-b0c3-c36bc62a0f47.jpg
WFX-2575,Heritage Grey Melange Sweatshirt,Sweatshirt,French Terry,308,Grey Melange,Solid,SS26,Loom & Co,Jakarta Garmindo,613.03,1150.13,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/a59d261c-fc59-40ed-9c56-9bcf5d99fc9c.jpg
WFX-2576,Essential Black Hoodie,Hoodie,French Terry,285,Black,Solid,AW26,Everlane East,Dhaka Knitwear Ltd,646.3,1390.65,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ef2b415a-b26c-434f-b014-cd23c5de0fee.jpg
WFX-2577,Slim Fit Grey Melange Trousers,Trousers,Chino Twill,237,Grey Melange,Solid,AW26,Cotton Culture,Hanoi Stitch Co,451.83,734.24,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/bd9d7a70-eaa4-4bc8-ad2c-15da61aae61f.jpg
WFX-2578,Tailored Grey Melange Shorts,Shorts,Nylon Ripstop,268,Grey Melange,Solid,SS25,Everlane East,Karachi Textile Mills,281.76,598.12,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/163d946e-7638-4069-92e0-1b02be330271.jpg
WFX-2579,Tailored Charcoal Trousers,Trousers,Poly/Viscose Suiting,243,Charcoal,Solid,SS25,Vastra Studio,Dhaka Knitwear Ltd,499.71,1266.74,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/046d0a65-f5a6-47f6-afaf-e692bfcfcb00.jpg
WFX-2580,Relaxed Sky Blue Polo,Polo,Cotton/Spandex 95/5,226,Sky Blue,Solid,SS25,Meridian Apparel,Tirupur Garments Co,537.47,1276.24,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/718f71d8-3ff4-462c-8348-e35c5439e9bb.jpg
WFX-2581,Oversized Off White T-Shirt,T-Shirt,Cotton/Polyester 60/40,162,Off White,Solid,AW25,Kaia Collective,Noida Knits Pvt Ltd,300.6,755.18,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/18439dca-829b-4ea3-bb54-8ab017f369f4.jpg
WFX-2582,Heritage Red Hoodie,Hoodie,French Terry,377,Red,Solid,SS26,Cotton Culture,Phnom Penh Sewing Ltd,710.76,1718.16,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/e4c3516f-4480-4e30-919d-dc735243f923.jpg
WFX-2583,Athleisure Maroon T-Shirt,T-Shirt,Cotton Slub,148,Maroon,Solid,SS25,Cotton Culture,Colombo Apparel Group,267.23,630.04,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/972c6621-eb6e-4340-812c-7b89a04a389b.jpg
WFX-2584,Oversized Teal Polo,Polo,Cotton/Spandex 95/5,209,Teal,Solid,SS25,Everlane East,Colombo Apparel Group,385.57,643.23,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ac99b83d-44de-45ad-9c82-df072f86793d.jpg
WFX-2585,Boxy Indigo Dress,Dress,Linen,170,Indigo,Solid,AW25,Cotton Culture,ABC Textiles,874.83,2175.44,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/41e13fef-86f5-40cb-807f-84adde1ba3d2.jpg
WFX-2586,Signature Navy Polo,Polo,Polyester Pique,189,Navy,Solid,SS25,Meridian Apparel,Hanoi Stitch Co,537.32,1150.2,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/50672a01-02ba-4583-8ce1-dda8b1884820.jpg
WFX-2587,Athleisure Beige Shirt,Shirt,Oxford Cotton,155,Beige,Solid,AW25,Cotton Culture,Jakarta Garmindo,475.1,1010.68,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/dafdefab-16ed-478c-8054-b479e48fe54b.jpg
WFX-2588,Classic Navy T-Shirt,T-Shirt,Organic Cotton,189,Navy,Solid,SS26,Loom & Co,Phnom Penh Sewing Ltd,252.19,505.9,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/e79aa430-3b52-4300-a363-b122402a675b.jpg
WFX-2589,Heritage Mustard T-Shirt,T-Shirt,100% Cotton,211,Mustard,Solid,AW25,Cotton Culture,Guangzhou Weave Co,319.59,620.32,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/224eaa85-6c96-4a3e-8f07-2612e569cb2a.jpg
WFX-2590,Signature Off White Shirt,Shirt,Chambray,152,Off White,Solid,AW26,Meridian Apparel,Noida Knits Pvt Ltd,356.57,720.19,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/b5613279-a7fc-4d80-9d7d-df632d12c452.jpg
WFX-2591,Heritage Black Jacket,Jacket,Denim 12oz,363,Black,Solid,SS25,Everlane East,Tirupur Garments Co,1039.01,2649.47,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/459ec559-7f45-4906-95d7-d449d5eadfdf.jpg
WFX-2592,Boxy Olive Skirt,Skirt,Cotton Twill,186,Olive,Printed,AW25,Vastra Studio,Hanoi Stitch Co,408.1,1118.77,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/7ec3c84f-6c41-40bf-8248-f89846c6be6c.jpg
WFX-2593,Tailored Grey Melange Skirt,Skirt,Viscose,149,Grey Melange,Solid,SS25,Cotton Culture,Jakarta Garmindo,403.53,1027.28,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/e3d30ea5-976b-45a8-a1e4-0fbcc7a045c2.jpg
WFX-2594,Athleisure Black Hoodie,Hoodie,French Terry,328,Black,Solid,AW25,Kaia Collective,Guangzhou Weave Co,519.41,943.78,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/d7f760bd-07f5-419b-a807-ce4d34009206.jpg
WFX-2595,Athleisure Sky Blue Sweatshirt,Sweatshirt,Loopback Cotton,306,Sky Blue,Solid,SS26,Kaia Collective,Istanbul Denim House,670.55,1264.01,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/0142c777-baf8-4500-add9-6641b95b90ec.jpg
WFX-2596,Essential Charcoal Jeans,Jeans,Denim 12oz,419,Charcoal,Solid,AW26,Kaia Collective,Shenzhen Fashion Works,1079.36,2742.92,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/801458be-449f-45eb-9101-62e03a7a77c3.jpg
WFX-2597,Athleisure Off White Polo,Polo,Cotton/Spandex 95/5,212,Off White,Solid,AW25,NorthPeak,Shenzhen Fashion Works,408.24,1126.55,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/db7b1bb1-f405-4c45-978a-958e02664a4d.jpg
