tech_pack_id,style_number,fabric_details,construction,wash_instructions
TP-WFX-2523,WFX-2523,"Cotton/Polyester 60/40, 176 GSM, Olive, Solid",Dobby Weave,"Hand wash only, dry flat in shade"
TP-WFX-2524,WFX-2524,"French Terry, 281 GSM, Beige, Solid",Fleece Brushed,"Hand wash only, dry flat in shade"
TP-WFX-2525,WFX-2525,"Polyester Crepe, 205 GSM, Charcoal, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2526,WFX-2526,"Poly/Viscose Suiting, 218 GSM, Teal, Solid",Single Jersey,"Machine wash warm with like colors, line dry"
TP-WFX-2527,WFX-2527,"Denim 10oz, 183 GSM, Navy, Solid",Twill Weave 3/1,"Machine wash cold inside out, do not iron print"
TP-WFX-2528,WFX-2528,"Chino Twill, 268 GSM, Grey Melange, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2529,WFX-2529,"Cotton/Polyester 60/40, 213 GSM, Black, Solid",Fleece Brushed,Dry clean only
TP-WFX-2530,WFX-2530,"Cotton/Spandex 95/5, 222 GSM, Charcoal, Printed",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2531,WFX-2531,"Cotton Twill, 251 GSM, Charcoal, Solid",French Terry Loopback,Dry clean only
TP-WFX-2532,WFX-2532,"Cotton Twill, 209 GSM, Black, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2533,WFX-2533,"Cotton Canvas, 301 GSM, Charcoal, Solid",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2534,WFX-2534,"Organic Cotton, 169 GSM, Charcoal, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2535,WFX-2535,"Cotton Fleece, 298 GSM, Navy, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2536,WFX-2536,"Cotton Fleece, 311 GSM, Black, Solid",Pique Knit,"Machine wash warm with like colors, line dry"
TP-WFX-2537,WFX-2537,"French Terry, 367 GSM, Black, Printed",Satin Weave,Dry clean only
TP-WFX-2538,WFX-2538,"Organic Cotton, 141 GSM, Off White, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2539,WFX-2539,"Linen, 147 GSM, Olive, Solid",Twill Weave 3/1,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2540,WFX-2540,"Cotton/Polyester Fleece 80/20, 389 GSM, Charcoal, Printed",2x2 Rib,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2541,WFX-2541,"Cotton/Linen 70/30, 127 GSM, Charcoal, Printed",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2542,WFX-2542,"Cotton Twill, 277 GSM, Charcoal, Solid",French Terry Loopback,"Machine wash warm with like colors, line dry"
TP-WFX-2543,WFX-2543,"Stretch Denim 98/2, 350 GSM, Black, Solid",French Terry Loopback,"Hand wash only, dry flat in shade"
TP-WFX-2544,WFX-2544,"Cotton Voile, 153 GSM, Pink, Solid",French Terry Loopback,Dry clean only
TP-WFX-2545,WFX-2545,"Polyester Crepe, 137 GSM, Teal, Printed",Plain Weave,"Hand wash only, dry flat in shade"
TP-WFX-2546,WFX-2546,"French Terry, 372 GSM, Off White, Solid",Satin Weave,Dry clean only
TP-WFX-2547,WFX-2547,"Linen, 144 GSM, Off White, Solid",2x2 Rib,"Hand wash only, dry flat in shade"
TP-WFX-2548,WFX-2548,"Chino Twill, 213 GSM, Black, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2549,WFX-2549,"Cotton Slub, 178 GSM, Black, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-2550,WFX-2550,"100% Cotton, 170 GSM, Navy, Printed",Interlock,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2551,WFX-2551,"100% Cotton, 202 GSM, Black, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2552,WFX-2552,"Cotton Canvas, 280 GSM, Black, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2553,WFX-2553,"Cotton/Spandex 95/5, 192 GSM, Charcoal, Solid",Pique Knit,Dry clean only
TP-WFX-2554,WFX-2554,"Polyester Crepe, 171 GSM, Black, Solid",Single Jersey,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2555,WFX-2555,"Denim 12oz, 257 GSM, Navy, Printed",Plain Weave,Dry clean only
TP-WFX-2556,WFX-2556,"100% Cotton, 143 GSM, Red, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2557,WFX-2557,"Organic Cotton, 146 GSM, Pink, Solid",Satin Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2558,WFX-2558,"Cotton Voile, 165 GSM, Black, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2559,WFX-2559,"Nylon Taslan, 235 GSM, Black, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2560,WFX-2560,"Cotton Twill, 255 GSM, Grey Melange, Solid",French Terry Loopback,Dry clean only
TP-WFX-2561,WFX-2561,"Polyester Pique, 213 GSM, Sky Blue, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2562,WFX-2562,"Nylon Ripstop, 273 GSM, Sky Blue, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2563,WFX-2563,"Loopback Cotton, 300 GSM, Grey Melange, Solid",Single Jersey,Dry clean only
TP-WFX-2564,WFX-2564,"Viscose, 111 GSM, Coral, Printed",2x2 Rib,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2565,WFX-2565,"Cotton Canvas, 310 GSM, Charcoal, Solid",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2566,WFX-2566,"Denim 12oz, 246 GSM, Brown, Solid",Satin Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2567,WFX-2567,"Denim 12oz, 249 GSM, Grey Melange, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2568,WFX-2568,"Oxford Cotton, 127 GSM, Grey Melange, Solid",Twill Weave 3/1,"Machine wash warm with like colors, line dry"
TP-WFX-2569,WFX-2569,"Cotton Fleece, 344 GSM, Black, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2570,WFX-2570,"Cotton/Spandex 95/5, 209 GSM, Charcoal, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2571,WFX-2571,"Cotton Twill, 256 GSM, Sky Blue, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2572,WFX-2572,"Cotton Canvas, 289 GSM, Black, Printed",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2573,WFX-2573,"Chambray, 152 GSM, Sky Blue, Solid",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-2574,WFX-2574,"Polyester Shell, 255 GSM, Black, Printed",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2575,WFX-2575,"French Terry, 308 GSM, Grey Melange, Solid",Twill Weave 3/1,"Machine wash warm with like colors, line dry"
TP-WFX-2576,WFX-2576,"French Terry, 285 GSM, Black, Solid",Fleece Brushed,"Hand wash only, dry flat in shade"
TP-WFX-2577,WFX-2577,"Chino Twill, 237 GSM, Grey Melange, Solid",Single Jersey,"Machine wash cold inside out, do not iron print"
TP-WFX-2578,WFX-2578,"Nylon Ripstop, 268 GSM, Grey Melange, Solid",French Terry Loopback,"Machine wash cold inside out, do not iron print"
TP-WFX-2579,WFX-2579,"Poly/Viscose Suiting, 243 GSM, Charcoal, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2580,WFX-2580,"Cotton/Spandex 95/5, 226 GSM, Sky Blue, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2581,WFX-2581,"Cotton/Polyester 60/40, 162 GSM, Off White, Solid",2x2 Rib,Dry clean only
TP-WFX-2582,WFX-2582,"French Terry, 377 GSM, Red, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2583,WFX-2583,"Cotton Slub, 148 GSM, Maroon, Solid",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2584,WFX-2584,"Cotton/Spandex 95/5, 209 GSM, Teal, Solid",Plain Weave,"Hand wash only, dry flat in shade"
TP-WFX-2585,WFX-2585,"Linen, 170 GSM, Indigo, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2586,WFX-2586,"Polyester Pique, 189 GSM, Navy, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2587,WFX-2587,"Oxford Cotton, 155 GSM, Beige, Solid",2x2 Rib,"Hand wash only, dry flat in shade"
TP-WFX-2588,WFX-2588,"Organic Cotton, 189 GSM, Navy, Solid",Fleece Brushed,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2589,WFX-2589,"100% Cotton, 211 GSM, Mustard, Solid",French Terry Loopback,Dry clean only
TP-WFX-2590,WFX-2590,"Chambray, 152 GSM, Off White, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2591,WFX-2591,"Denim 12oz, 363 GSM, Black, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2592,WFX-2592,"Cotton Twill, 186 GSM, Olive, Printed",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2593,WFX-2593,"Viscose, 149 GSM, Grey Melange, Solid",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2594,WFX-2594,"French Terry, 328 GSM, Black, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2595,WFX-2595,"Loopback Cotton, 306 GSM, Sky Blue, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-2596,WFX-2596,"Denim 12oz, 419 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2597,WFX-2597,"Cotton/Spandex 95/5, 212 GSM, Off White, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2598,WFX-2598,"Denim 14oz, 435 GSM, Charcoal, Printed",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2599,WFX-2599,"Cotton/Spandex 95/5, 208 GSM, Beige, Solid",French Terry Loopback,"Machine wash warm with like colors, line dry"
TP-WFX-2600,WFX-2600,"Cotton Pique, 206 GSM, Lavender, Solid",Interlock,Dry clean only
TP-WFX-2601,WFX-2601,"100% Cotton, 180 GSM, Red, Solid",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-2602,WFX-2602,"Cotton/Polyester Fleece 80/20, 397 GSM, Charcoal, Solid",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2603,WFX-2603,"Cotton Fleece, 282 GSM, Charcoal, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2604,WFX-2604,"Polyester Shell, 297 GSM, Grey Melange, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2605,WFX-2605,"Cotton/Linen 70/30, 148 GSM, Blue, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2606,WFX-2606,"French Terry, 338 GSM, Black, Solid",French Terry Loopback,"Machine wash cold inside out, do not iron print"
TP-WFX-2607,WFX-2607,"100% Cotton, 189 GSM, Teal, Solid",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2608,WFX-2608,"Denim 12oz, 428 GSM, Navy, Solid",Twill Weave 3/1,"Machine wash cold inside out, do not iron print"
TP-WFX-2609,WFX-2609,"Cotton Voile, 169 GSM, Blue, Solid",Pique Knit,Dry clean only
TP-WFX-2610,WFX-2610,"Cotton Twill, 251 GSM, Pink, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2611,WFX-2611,"Polyester Crepe, 259 GSM, Charcoal, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2612,WFX-2612,"Organic Cotton, 185 GSM, Black, Solid",French Terry Loopback,"Machine wash warm with like colors, line dry"
TP-WFX-2613,WFX-2613,"Chino Twill, 251 GSM, Black, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2614,WFX-2614,"Cotton/Spandex 95/5, 239 GSM, Red, Solid",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2615,WFX-2615,"Cotton Fleece, 283 GSM, Black, Solid",Twill Weave 3/1,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2616,WFX-2616,"Cotton Canvas, 262 GSM, Off White, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2617,WFX-2617,"Cotton Poplin, 114 GSM, Grey Melange, Printed",2x2 Rib,"Hand wash only, dry flat in shade"
TP-WFX-2618,WFX-2618,"Chambray, 153 GSM, Green, Solid",Single Jersey,"Machine wash warm with like colors, line dry"
TP-WFX-2619,WFX-2619,"100% Cotton, 217 GSM, Grey Melange, Solid",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2620,WFX-2620,"Cotton Fleece, 306 GSM, Red, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2621,WFX-2621,"Cotton Slub, 211 GSM, Pink, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2622,WFX-2622,"Cotton Fleece, 295 GSM, Black, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2623,WFX-2623,"Cotton Fleece, 304 GSM, Forest Green, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2624,WFX-2624,"Poly/Viscose Suiting, 228 GSM, Indigo, Solid",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2625,WFX-2625,"Cotton Fleece, 333 GSM, Grey Melange, Solid",Fleece Brushed,"Machine wash cold inside out, do not iron print"
TP-WFX-2626,WFX-2626,"Polyester Crepe, 161 GSM, Charcoal, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2627,WFX-2627,"Denim 14oz, 459 GSM, Black, Solid",Satin Weave,Dry clean only
TP-WFX-2628,WFX-2628,"Chino Twill, 264 GSM, Off White, Solid",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2629,WFX-2629,"French Terry, 301 GSM, Red, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2630,WFX-2630,"Organic Cotton, 156 GSM, Orange, Solid",Single Jersey,"Machine wash warm with like colors, line dry"
TP-WFX-2631,WFX-2631,"Stretch Denim 98/2, 426 GSM, Grey Melange, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2632,WFX-2632,"French Terry, 333 GSM, Navy, Solid",Fleece Brushed,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2633,WFX-2633,"Viscose, 243 GSM, Grey Melange, Printed",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2634,WFX-2634,"Denim 14oz, 458 GSM, Charcoal, Solid",Twill Weave 3/1,"Machine wash cold inside out, do not iron print"
TP-WFX-2635,WFX-2635,"Cotton Fleece, 377 GSM, Charcoal, Solid",Dobby Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2636,WFX-2636,"Cotton/Spandex 95/5, 195 GSM, Teal, Solid",Single Jersey,"Machine wash cold inside out, do not iron print"
TP-WFX-2637,WFX-2637,"Linen, 146 GSM, Charcoal, Printed",French Terry Loopback,"Hand wash only, dry flat in shade"
TP-WFX-2638,WFX-2638,"Loopback Cotton, 262 GSM, Grey Melange, Solid",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2639,WFX-2639,"Cotton Poplin, 128 GSM, Beige, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2640,WFX-2640,"Cotton Fleece, 335 GSM, Blush Pink, Solid",2x2 Rib,Dry clean only
TP-WFX-2641,WFX-2641,"Stretch Denim 98/2, 389 GSM, Sky Blue, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2642,WFX-2642,"Cotton Fleece, 292 GSM, Beige, Solid",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-2643,WFX-2643,"Linen, 165 GSM, Charcoal, Solid",2x2 Rib,"Hand wash only, dry flat in shade"
TP-WFX-2644,WFX-2644,"Cotton Fleece, 357 GSM, Forest Green, Printed",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2645,WFX-2645,"Cotton Fleece, 303 GSM, Brown, Solid",2x2 Rib,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2646,WFX-2646,"Cotton Voile, 142 GSM, Plum, Printed",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2647,WFX-2647,"Polyester Pique, 230 GSM, Brown, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2648,WFX-2648,"Cotton Canvas, 257 GSM, Grey Melange, Printed",Interlock,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2649,WFX-2649,"Loopback Cotton, 300 GSM, Grey Melange, Printed",Fleece Brushed,Dry clean only
TP-WFX-2650,WFX-2650,"French Terry, 306 GSM, Plum, Solid",Pique Knit,"Machine wash warm with like colors, line dry"
TP-WFX-2651,WFX-2651,"Denim 10oz, 256 GSM, Grey Melange, Solid",Dobby Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2652,WFX-2652,"French Terry, 295 GSM, Black, Solid",Pique Knit,"Machine wash warm with like colors, line dry"
TP-WFX-2653,WFX-2653,"Cotton/Spandex 95/5, 202 GSM, Grey Melange, Solid",Interlock,"Machine wash warm with like colors, line dry"
TP-WFX-2654,WFX-2654,"Cotton Slub, 184 GSM, Sky Blue, Solid",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2655,WFX-2655,"Cotton/Polyester Fleece 80/20, 363 GSM, Black, Printed",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2656,WFX-2656,"Cotton Twill, 218 GSM, Black, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2657,WFX-2657,"Cotton Twill, 192 GSM, Black, Solid",Single Jersey,Dry clean only
TP-WFX-2658,WFX-2658,"Cotton Fleece, 320 GSM, Grey Melange, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2659,WFX-2659,"Chambray, 124 GSM, Brown, Solid",Single Jersey,"Machine wash cold inside out, do not iron print"
TP-WFX-2660,WFX-2660,"Loopback Cotton, 360 GSM, Grey Melange, Printed",Satin Weave,Dry clean only
TP-WFX-2661,WFX-2661,"Linen, 128 GSM, Grey Melange, Solid",Plain Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2662,WFX-2662,"Cotton Fleece, 383 GSM, Off White, Solid",2x2 Rib,"Machine wash warm with like colors, line dry"
TP-WFX-2663,WFX-2663,"Polyester Pique, 201 GSM, Charcoal, Printed",Twill Weave 3/1,"Machine wash cold inside out, do not iron print"
TP-WFX-2664,WFX-2664,"100% Cotton, 191 GSM, Grey Melange, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2665,WFX-2665,"Denim 12oz, 318 GSM, Charcoal, Solid",Fleece Brushed,"Machine wash cold inside out, do not iron print"
TP-WFX-2666,WFX-2666,"Polyester Shell, 235 GSM, Brown, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-2667,WFX-2667,"Nylon Ripstop, 238 GSM, Grey Melange, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2668,WFX-2668,"Linen, 160 GSM, Blush Pink, Solid",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2669,WFX-2669,"Cotton Poplin, 146 GSM, Sky Blue, Solid",Twill Weave 3/1,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2670,WFX-2670,"Cotton Fleece, 316 GSM, Charcoal, Solid",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2671,WFX-2671,"Loopback Cotton, 276 GSM, Beige, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2672,WFX-2672,"Cotton Canvas, 285 GSM, Sky Blue, Solid",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2673,WFX-2673,"Viscose, 169 GSM, Indigo, Solid",Single Jersey,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2674,WFX-2674,"Polyester Shell, 254 GSM, Charcoal, Solid",Twill Weave 3/1,"Machine wash warm with like colors, line dry"
TP-WFX-2675,WFX-2675,"Nylon Ripstop, 208 GSM, Charcoal, Printed",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2676,WFX-2676,"Cotton Slub, 207 GSM, Grey Melange, Solid",Plain Weave,Dry clean only
TP-WFX-2677,WFX-2677,"French Terry, 208 GSM, Black, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2678,WFX-2678,"Poly/Viscose Suiting, 297 GSM, Charcoal, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2679,WFX-2679,"Viscose, 112 GSM, Black, Solid",French Terry Loopback,"Hand wash only, dry flat in shade"
TP-WFX-2680,WFX-2680,"Cotton/Spandex 95/5, 208 GSM, Charcoal, Solid",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2681,WFX-2681,"Linen, 176 GSM, Charcoal, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2682,WFX-2682,"Cotton Voile, 135 GSM, Red, Solid",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2683,WFX-2683,"Nylon Ripstop, 280 GSM, Grey Melange, Solid",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-2684,WFX-2684,"Polyester Crepe, 188 GSM, Black, Solid",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2685,WFX-2685,"Cotton Twill, 231 GSM, Maroon, Solid",Twill Weave 3/1,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2686,WFX-2686,"French Terry, 302 GSM, Black, Solid",Dobby Weave,Dry clean only
TP-WFX-2687,WFX-2687,"Nylon Ripstop, 246 GSM, Charcoal, Solid",Dobby Weave,"Hand wash only, dry flat in shade"
TP-WFX-2688,WFX-2688,"Organic Cotton, 178 GSM, Charcoal, Printed",2x2 Rib,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2689,WFX-2689,"Polyester Pique, 218 GSM, Olive, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2690,WFX-2690,"Cotton/Linen 70/30, 144 GSM, Navy, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2691,WFX-2691,"Cotton Slub, 180 GSM, Grey Melange, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2692,WFX-2692,"Linen, 145 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2693,WFX-2693,"Rayon Challis, 148 GSM, Forest Green, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2694,WFX-2694,"Denim 10oz, 198 GSM, Maroon, Printed",Single Jersey,Dry clean only
TP-WFX-2695,WFX-2695,"Linen, 104 GSM, Charcoal, Solid",2x2 Rib,"Machine wash warm with like colors, line dry"
TP-WFX-2696,WFX-2696,"Stretch Denim 98/2, 399 GSM, Grey Melange, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2697,WFX-2697,"Denim 10oz, 224 GSM, Black, Solid",Interlock,Dry clean only
TP-WFX-2698,WFX-2698,"French Terry, 196 GSM, Black, Solid",Dobby Weave,"Hand wash only, dry flat in shade"
TP-WFX-2699,WFX-2699,"French Terry, 299 GSM, Off White, Printed",Plain Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2700,WFX-2700,"Nylon Ripstop, 211 GSM, Grey Melange, Solid",French Terry Loopback,"Machine wash warm with like colors, line dry"
TP-WFX-2701,WFX-2701,"Cotton Pique, 205 GSM, Navy, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2702,WFX-2702,"Cotton/Polyester Fleece 80/20, 388 GSM, Beige, Printed",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2703,WFX-2703,"French Terry, 393 GSM, Off White, Solid",Pique Knit,"Machine wash warm with like colors, line dry"
TP-WFX-2704,WFX-2704,"Cotton/Spandex 95/5, 181 GSM, White, Solid",Satin Weave,Dry clean only
