order_number,buyer,style_number,quantity,unit_price,shipment_date,status
SO-00035,Gulf Fashion Trading,WFX-2945,1000,1011.55,2025-01-25,Confirmed
SO-00036,Prairie Wholesale Inc,WFX-3145,500,1740.2,2025-05-24,In Production
SO-00037,Nordic Retail AB,WFX-3415,2000,1027.61,2026-08-05,Delivered
SO-00038,Maple Leaf Fashion,WFX-3060,2000,2670.11,2026-10-20,In Production
SO-00039,Iberia Moda SL,WFX-3041,1000,3039.43,2026-08-08,Delivered
SO-00040,Iberia Moda SL,WFX-3348,2000,1991.76,2026-07-27,In Production
SO-00041,Thames & Co,WFX-3374,500,2362.7,2026-10-03,Shipped
SO-00042,Maple Leaf Fashion,WFX-2886,500,806.98,2026-06-14,Confirmed
SO-00043,Maple Leaf Fashion,WFX-2806,500,2061.83,2025-02-22,Shipped
SO-00044,Gulf Fashion Trading,WFX-3116,2000,1727.47,2025-10-24,Confirmed
SO-00045,Rhine Mode GmbH,WFX-3445,3000,1013.27,2025-03-11,Delivered
SO-00046,Thames & Co,WFX-3394,1500,1157.08,2026-08-13,Confirmed
SO-00047,Gulf Fashion Trading,WFX-2748,1500,2919.54,2025-02-28,In Production
SO-00048,Alpine Casuals SA,WFX-3060,500,2670.11,2025-09-27,Shipped
SO-00049,Nordic Retail AB,WFX-3169,300,836.79,2025-09-25,In Production
SO-00050,Sakura Style KK,WFX-2706,300,1597.6,2026-07-15,Confirmed
SO-00051,Alpine Casuals SA,WFX-3337,2000,2169.99,2026-11-11,Delivered
SO-00052,Nordic Retail AB,WFX-3435,1000,1216.38,2026-08-01,Shipped
SO-00053,Lion City Apparel,WFX-3427,300,1544.41,2025-03-14,In Production
SO-00054,Outback Outfitters,WFX-3473,500,959.97,2026-05-06,Delivered
SO-00055,Thames & Co,WFX-3470,1500,1259.89,2025-04-17,Delivered
SO-00056,Iberia Moda SL,WFX-2537,1000,1505.03,2026-03-18,Delivered
SO-00057,Rhine Mode GmbH,WFX-2990,1000,1047.37,2025-02-26,Confirmed
SO-00058,Bayside Brands,WFX-2527,3000,1385.2,2025-01-19,Delivered
SO-00059,Iberia Moda SL,WFX-3066,300,700.1,2026-01-22,In Production
SO-00060,Thames & Co,WFX-3213,3000,1570.2,2026-07-17,Delivered
SO-00061,Maple Leaf Fashion,WFX-2642,5000,1601.94,2026-09-23,Confirmed
SO-00062,Sakura Style KK,WFX-3426,2000,586.14,2026-03-24,In Production
SO-00063,Nordic Retail AB,WFX-3441,1000,1693.85,2026-08-26,In Production
SO-00064,Bayside Brands,WFX-2511,3000,620.0,2026-07-04,Delivered
SO-00065,Nordic Retail AB,WFX-3082,300,1338.25,2025-09-13,Delivered
SO-00066,Nordic Retail AB,WFX-3333,500,2831.03,2026-03-26,Confirmed
SO-00067,Rhine Mode GmbH,WFX-2685,300,784.91,2026-09-09,In Production
SO-00068,Bayside Brands,WFX-3171,1500,1367.38,2026-02-12,Confirmed
SO-00069,Prairie Wholesale Inc,WFX-2991,500,963.77,2025-03-20,Delivered
SO-00070,Gulf Fashion Trading,WFX-2757,1000,604.87,2026-01-01,Shipped
SO-00071,Bayside Brands,WFX-3420,5000,789.01,2026-01-11,Delivered
SO-00072,Gulf Fashion Trading,WFX-3299,1500,1419.14,2025-09-08,Delivered
SO-00073,Rhine Mode GmbH,WFX-3040,2000,1492.76,2026-05-31,Delivered
SO-00074,Nordic Retail AB,WFX-2607,2000,608.57,2026-12-24,Delivered
SO-00075,Lion City Apparel,WFX-3474,5000,4029.49,2025-07-28,In Production
SO-00076,Thames & Co,WFX-3434,1000,1961.46,2026-07-21,In Production
SO-00077,Maple Leaf Fashion,WFX-2716,2000,2137.15,2025-05-26,Delivered
SO-00078,Bayside Brands,WFX-2537,5000,1505.03,2026-04-10,Shipped
SO-00079,Maple Leaf Fashion,WFX-3476,300,399.46,2025-02-04,Shipped
SO-00080,Rhine Mode GmbH,WFX-2777,3000,1514.93,2025-03-28,In Production
SO-00081,Rhine Mode GmbH,WFX-2562,3000,639.24,2026-01-27,Shipped
SO-00082,Iberia Moda SL,WFX-2894,300,894.51,2026-01-24,In Production
SO-00083,Prairie Wholesale Inc,WFX-2689,3000,957.29,2026-11-08,Shipped
SO-00084,Nordic Retail AB,WFX-2813,2000,1460.95,2026-09-16,Delivered
SO-00085,Sakura Style KK,WFX-3273,1500,1698.93,2026-08-29,Delivered
SO-00086,Nordic Retail AB,WFX-2722,2000,951.79,2026-09-29,Delivered
SO-00087,Outback Outfitters,WFX-2945,300,1011.55,2026-07-21,Delivered
SO-00088,Alpine Casuals SA,WFX-2898,1500,1300.52,2026-07-02,Delivered
SO-00089,Outback Outfitters,WFX-2975,1500,1475.23,2026-01-26,In Production
SO-00090,Alpine Casuals SA,WFX-2979,1000,2221.22,2025-01-16,Confirmed
SO-00091,Prairie Wholesale Inc,WFX-2788,1500,697.72,2025-09-13,Confirmed
SO-00092,Gulf Fashion Trading,WFX-3290,1500,535.81,2026-02-09,In Production
SO-00093,Lion City Apparel,WFX-2540,1500,1257.89,2026-11-07,In Production
SO-00094,Prairie Wholesale Inc,WFX-2757,300,604.87,2026-08-06,Confirmed
SO-00095,Sakura Style KK,WFX-3177,1500,1680.95,2026-03-31,Delivered
SO-00096,Nordic Retail AB,WFX-2974,5000,1093.58,2025-02-07,Confirmed
SO-00097,Sakura Style KK,WFX-3490,5000,1270.0,2026-07-24,Shipped
SO-00098,Outback Outfitters,WFX-2724,300,483.66,2025-03-23,Shipped
SO-00099,Lion City Apparel,WFX-2784,2000,600.61,2026-03-28,Cancelled
SO-00100,Rhine Mode GmbH,WFX-2685,1500,784.91,2026-05-22,In Production
SO-00101,Bayside Brands,WFX-2631,800,2288.91,2026-09-25,Confirmed
SO-00102,Nordic Retail AB,WFX-3172,1000,3230.0,2025-02-09,Confirmed
SO-00103,Prairie Wholesale Inc,WFX-2689,5000,957.29,2025-02-12,Shipped
SO-00104,Alpine Casuals SA,WFX-3067,1000,964.09,2025-09-23,Confirmed
SO-00105,Rhine Mode GmbH,WFX-3499,300,1350.02,2025-12-28,Delivered
SO-00106,Alpine Casuals SA,WFX-3054,300,881.81,2025-12-25,Shipped
SO-00107,Maple Leaf Fashion,WFX-2612,5000,605.82,2025-03-21,Confirmed
SO-00108,Bayside Brands,WFX-2743,2000,906.96,2026-11-29,Shipped
SO-00109,Maple Leaf Fashion,WFX-2926,3000,517.43,2025-05-27,Delivered
SO-00110,Sakura Style KK,WFX-2526,2000,1549.62,2026-02-22,In Production
SO-00111,Prairie Wholesale Inc,WFX-3419,2000,409.54,2025-10-29,Shipped
SO-00112,Nordic Retail AB,WFX-3137,800,630.65,2025-10-25,In Production
SO-00113,Thames & Co,WFX-3453,300,1006.97,2025-08-05,Confirmed
SO-00114,Sakura Style KK,WFX-3328,2000,2020.73,2026-01-23,Delivered
SO-00115,Lion City Apparel,WFX-3351,300,677.03,2025-06-03,Delivered
SO-00116,Prairie Wholesale Inc,WFX-2891,500,630.51,2025-08-18,Cancelled
SO-00117,Gulf Fashion Trading,WFX-3079,3000,3795.91,2025-05-05,Shipped
SO-00118,Gulf Fashion Trading,WFX-3368,300,793.19,2026-11-07,Shipped
SO-00119,Gulf Fashion Trading,WFX-3038,5000,840.1,2025-07-19,In Production
SO-00120,Lion City Apparel,WFX-3357,1500,721.74,2025-12-03,Delivered
SO-00121,Sakura Style KK,WFX-2749,1000,3164.04,2025-04-29,Shipped
SO-00122,Bayside Brands,WFX-3210,5000,885.68,2026-02-24,Delivered
SO-00123,Maple Leaf Fashion,WFX-2871,2000,734.81,2025-03-20,Shipped
SO-00124,Sakura Style KK,WFX-3437,5000,1400.62,2026-04-05,Shipped
SO-00125,Outback Outfitters,WFX-3306,1000,2251.3,2025-05-09,Shipped
SO-00126,Gulf Fashion Trading,WFX-3448,1000,2384.33,2026-02-22,Delivered
SO-00127,Lion City Apparel,WFX-3191,800,995.48,2025-10-21,Shipped
SO-00128,Sakura Style KK,WFX-2850,500,943.9,2026-03-08,Confirmed
SO-00129,Thames & Co,WFX-3018,5000,2863.06,2025-07-22,Shipped
SO-00130,Thames & Co,WFX-3422,5000,1926.32,2025-05-04,Confirmed
SO-00131,Rhine Mode GmbH,WFX-2929,5000,2343.98,2025-05-10,Delivered
SO-00132,Nordic Retail AB,WFX-3391,3000,1676.3,2025-06-20,Confirmed
SO-00133,Thames & Co,WFX-2575,3000,1150.13,2025-12-29,Delivered
SO-00134,Outback Outfitters,WFX-2631,1000,2288.91,2025-05-02,Delivered
SO-00135,Sakura Style KK,WFX-2845,500,666.33,2025-02-16,Cancelled
SO-00136,Alpine Casuals SA,WFX-2576,2000,1390.65,2026-02-23,Delivered
SO-00137,Iberia Moda SL,WFX-3146,3000,548.62,2026-05-04,In Production
SO-00138,Thames & Co,WFX-3217,800,937.42,2026-08-27,Delivered
SO-00139,Gulf Fashion Trading,WFX-3439,500,879.68,2025-01-08,In Production
SO-00140,Lion City Apparel,WFX-3108,2000,801.0,2026-04-10,Delivered
SO-00141,Sakura Style KK,WFX-2889,5000,2417.54,2026-08-26,In Production
SO-00142,Maple Leaf Fashion,WFX-2787,1000,2050.11,2025-12-16,In Production
SO-00143,Lion City Apparel,WFX-2550,3000,655.43,2026-01-29,In Production
SO-00144,Thames & Co,WFX-2827,800,868.58,2025-08-04,Confirmed
SO-00145,Gulf Fashion Trading,WFX-2941,1500,762.13,2026-09-23,Shipped
SO-00146,Maple Leaf Fashion,WFX-2822,2000,1489.24,2025-05-02,In Production
SO-00147,Rhine Mode GmbH,WFX-2795,5000,975.08,2025-06-23,Shipped
SO-00148,Rhine Mode GmbH,WFX-2796,500,1105.57,2026-11-14,Delivered
SO-00149,Thames & Co,WFX-2786,500,2047.09,2026-06-05,In Production
SO-00150,Thames & Co,WFX-3273,300,1698.93,2025-02-10,Shipped
SO-00151,Gulf Fashion Trading,WFX-3483,1000,833.59,2025-01-27,Confirmed
SO-00152,Bayside Brands,WFX-2879,1500,891.62,2026-08-08,Delivered
SO-00153,Alpine Casuals SA,WFX-2937,5000,2667.02,2026-04-10,Shipped
SO-00154,Maple Leaf Fashion,WFX-2803,500,1188.88,2026-03-19,Shipped
SO-00155,Rhine Mode GmbH,WFX-3006,500,849.2,2025-10-13,Delivered
SO-00156,Prairie Wholesale Inc,WFX-3250,500,1006.36,2025-03-22,Cancelled
SO-00157,Bayside Brands,WFX-3263,500,681.91,2026-06-04,In Production
SO-00158,Rhine Mode GmbH,WFX-2844,5000,2766.75,2026-06-10,Shipped
SO-00159,Maple Leaf Fashion,WFX-3189,2000,1462.0,2025-02-09,Delivered
SO-00160,Maple Leaf Fashion,WFX-2944,2000,1679.94,2026-07-26,In Production
SO-00161,Prairie Wholesale Inc,WFX-3177,300,1680.95,2026-10-05,Delivered
SO-00162,Bayside Brands,WFX-2509,800,911.5,2025-08-14,Shipped
SO-00163,Bayside Brands,WFX-3190,1500,1216.54,2026-05-12,Shipped
SO-00164,Thames & Co,WFX-3334,5000,488.76,2025-07-23,In Production
SO-00165,Maple Leaf Fashion,WFX-3151,1000,1280.37,2025-03-10,Confirmed
SO-00166,Gulf Fashion Trading,WFX-3003,1000,1578.32,2025-02-09,Delivered
SO-00167,Alpine Casuals SA,WFX-2929,1500,2343.98,2026-10-09,Shipped
SO-00168,Bayside Brands,WFX-3098,2000,1168.21,2026-11-04,Shipped
SO-00169,Thames & Co,WFX-3478,1500,1738.01,2025-10-27,Delivered
SO-00170,Iberia Moda SL,WFX-3185,5000,631.52,2026-02-06,Delivered
SO-00171,Sakura Style KK,WFX-3113,5000,582.79,2025-08-13,In Production
SO-00172,Rhine Mode GmbH,WFX-2616,3000,2670.45,2025-11-30,Cancelled
SO-00173,Prairie Wholesale Inc,WFX-2754,3000,1333.11,2026-04-21,Confirmed
SO-00174,Sakura Style KK,WFX-3480,500,1022.23,2026-02-12,In Production
SO-00175,Thames & Co,WFX-3222,5000,630.71,2026-05-16,Delivered
SO-00176,Outback Outfitters,WFX-3116,1000,1727.47,2025-10-02,Confirmed
SO-00177,Bayside Brands,WFX-3020,3000,1066.52,2025-11-27,Confirmed
SO-00178,Prairie Wholesale Inc,WFX-2768,2000,1375.6,2026-03-29,Shipped
SO-00179,Outback Outfitters,WFX-2936,1500,1985.08,2025-10-02,Delivered
SO-00180,Alpine Casuals SA,WFX-2998,1000,1479.54,2025-02-16,In Production
SO-00181,Iberia Moda SL,WFX-2816,3000,1451.03,2025-06-20,In Production
SO-00182,Bayside Brands,WFX-3049,500,1544.78,2026-09-21,Delivered
SO-00183,Sakura Style KK,WFX-3126,800,1797.81,2025-01-21,Shipped
SO-00184,Alpine Casuals SA,WFX-3474,300,4029.49,2025-04-03,Delivered
SO-00185,Alpine Casuals SA,WFX-3300,2000,402.3,2026-07-21,Delivered
SO-00186,Prairie Wholesale Inc,WFX-2565,300,4056.51,2026-01-06,Shipped
SO-00187,Bayside Brands,WFX-3049,800,1544.78,2026-02-10,Delivered
SO-00188,Alpine Casuals SA,WFX-3381,1000,408.8,2025-06-15,In Production
SO-00189,Sakura Style KK,WFX-3433,2000,896.37,2026-07-21,Shipped
SO-00190,Bayside Brands,WFX-3251,300,951.91,2025-01-21,Confirmed
SO-00191,Gulf Fashion Trading,WFX-3274,500,2007.67,2026-05-12,Shipped
SO-00192,Thames & Co,WFX-2544,1500,785.39,2025-08-24,In Production
SO-00193,Alpine Casuals SA,WFX-3147,1000,738.4,2025-05-07,Confirmed
SO-00194,Outback Outfitters,WFX-3333,3000,2831.03,2025-10-04,Confirmed
SO-00195,Maple Leaf Fashion,WFX-3383,500,573.31,2026-12-22,Confirmed
SO-00196,Alpine Casuals SA,WFX-3281,3000,899.31,2026-07-09,Confirmed
SO-00197,Thames & Co,WFX-3120,500,3608.71,2026-02-05,Delivered
SO-00198,Lion City Apparel,WFX-2699,1500,1308.84,2026-03-12,Delivered
SO-00199,Alpine Casuals SA,WFX-3025,300,1708.87,2026-04-15,In Production
SO-00200,Maple Leaf Fashion,WFX-2708,1500,468.64,2026-08-14,Cancelled
SO-00201,Outback Outfitters,WFX-2983,1500,978.96,2025-08-16,Shipped
SO-00202,Outback Outfitters,WFX-3491,1500,865.33,2026-12-21,Shipped
SO-00203,Gulf Fashion Trading,WFX-3047,1000,1941.63,2026-05-24,In Production
SO-00204,Outback Outfitters,WFX-3246,2000,764.03,2025-04-21,Delivered
SO-00205,Bayside Brands,WFX-2964,300,1546.49,2025-08-26,In Production
SO-00206,Sakura Style KK,WFX-2958,5000,1050.04,2026-10-21,Shipped
SO-00207,Sakura Style KK,WFX-2819,800,933.12,2025-03-27,Delivered
SO-00208,Gulf Fashion Trading,WFX-2598,800,1434.87,2026-05-17,In Production
SO-00209,Bayside Brands,WFX-3108,500,801.0,2026-09-24,Confirmed
SO-00210,Iberia Moda SL,WFX-3359,1000,2932.14,2026-05-21,Confirmed
SO-00211,Outback Outfitters,WFX-2759,1500,1154.21,2025-06-04,Delivered
SO-00212,Sakura Style KK,WFX-2538,3000,808.78,2025-10-02,Delivered
SO-00213,Bayside Brands,WFX-3207,5000,1044.4,2025-11-17,Shipped
SO-00214,Prairie Wholesale Inc,WFX-3483,1000,833.59,2026-12-27,In Production
SO-00215,Gulf Fashion Trading,WFX-2995,500,708.48,2026-03-12,Delivered
SO-00216,Maple Leaf Fashion,WFX-3217,3000,937.42,2025-01-14,Confirmed
SO-00217,Gulf Fashion Trading,WFX-2666,500,2808.2,2026-03-25,In Production
SO-00218,Maple Leaf Fashion,WFX-3391,300,1676.3,2026-05-23,Delivered
SO-00219,Prairie Wholesale Inc,WFX-2675,5000,755.6,2026-07-15,Confirmed
SO-00220,Outback Outfitters,WFX-2929,300,2343.98,2026-03-22,In Production
SO-00221,Alpine Casuals SA,WFX-2802,1500,2029.58,2026-09-22,Shipped
SO-00222,Sakura Style KK,WFX-3411,800,1157.61,2026-06-20,Confirmed
SO-00223,Bayside Brands,WFX-3202,2000,2745.2,2025-09-15,Shipped
SO-00224,Iberia Moda SL,WFX-2984,1000,810.85,2025-05-19,Delivered
SO-00225,Gulf Fashion Trading,WFX-2669,5000,894.8,2026-03-03,Confirmed
SO-00226,Thames & Co,WFX-2684,5000,818.18,2025-01-06,Confirmed
SO-00227,Alpine Casuals SA,WFX-2820,1000,1301.28,2025-04-07,In Production
SO-00228,Iberia Moda SL,WFX-3051,2000,1532.42,2026-10-02,Confirmed
SO-00229,Lion City Apparel,WFX-2980,800,1551.58,2026-10-14,Confirmed
SO-00230,Bayside Brands,WFX-3073,2000,459.54,2025-07-17,Shipped
SO-00231,Rhine Mode GmbH,WFX-2782,3000,946.47,2025-11-10,Shipped
SO-00232,Lion City Apparel,WFX-2877,3000,1654.09,2026-07-29,Delivered
SO-00233,Prairie Wholesale Inc,WFX-3055,1000,1090.87,2025-06-06,Confirmed
SO-00234,Alpine Casuals SA,WFX-2606,1000,1236.37,2025-09-27,In Production
SO-00235,Maple Leaf Fashion,WFX-3078,800,877.15,2026-08-25,Delivered
SO-00236,Outback Outfitters,WFX-3161,2000,698.28,2026-08-30,Shipped
SO-00237,Rhine Mode GmbH,WFX-3120,5000,3608.71,2025-01-03,In Production
SO-00238,Bayside Brands,WFX-3303,1000,3115.04,2026-09-22,Confirmed
SO-00239,Thames & Co,WFX-2651,800,1097.52,2025-01-01,Shipped
SO-00240,Maple Leaf Fashion,WFX-2832,300,1107.13,2026-03-27,Confirmed
SO-00241,Prairie Wholesale Inc,WFX-2936,5000,1985.08,2026-05-28,In Production
SO-00242,Maple Leaf Fashion,WFX-3279,1000,3488.86,2026-01-22,Shipped
SO-00243,Outback Outfitters,WFX-3293,5000,849.75,2026-06-19,In Production
SO-00244,Gulf Fashion Trading,WFX-2825,500,1179.49,2025-08-08,Delivered
SO-00245,Thames & Co,WFX-3479,1500,1779.06,2026-03-24,Delivered
SO-00246,Iberia Moda SL,WFX-3074,5000,1456.93,2025-09-14,Delivered
SO-00247,Maple Leaf Fashion,WFX-3202,3000,2745.2,2025-07-02,Delivered
SO-00248,Sakura Style KK,WFX-2526,5000,1549.62,2025-12-21,Delivered
SO-00249,Outback Outfitters,WFX-3246,1000,764.03,2025-07-15,Shipped
SO-00250,Sakura Style KK,WFX-2892,800,2323.76,2025-01-11,Delivered
SO-00251,Iberia Moda SL,WFX-2701,2000,823.32,2025-01-06,Shipped
SO-00252,Rhine Mode GmbH,WFX-3101,2000,1947.68,2026-01-13,Confirmed
SO-00253,Rhine Mode GmbH,WFX-3438,300,991.99,2025-02-04,Shipped
SO-00254,Rhine Mode GmbH,WFX-3163,5000,900.41,2026-12-14,In Production
SO-00255,Rhine Mode GmbH,WFX-3222,1500,630.71,2026-08-09,Shipped
SO-00256,Nordic Retail AB,WFX-3344,5000,731.82,2026-10-10,Cancelled
SO-00257,Iberia Moda SL,WFX-2966,800,1966.56,2026-10-26,Shipped
SO-00258,Gulf Fashion Trading,WFX-3269,500,2134.23,2025-01-30,Confirmed
SO-00259,Alpine Casuals SA,WFX-3128,800,793.11,2025-07-01,Delivered
SO-00260,Thames & Co,WFX-3392,500,1225.41,2025-05-03,Shipped
SO-00261,Iberia Moda SL,WFX-2558,300,1449.38,2026-07-12,In Production
SO-00262,Bayside Brands,WFX-2785,300,1026.95,2026-11-20,In Production
SO-00263,Sakura Style KK,WFX-3369,800,1061.94,2026-08-24,Delivered
SO-00264,Sakura Style KK,WFX-3240,300,1937.95,2026-02-17,Delivered
SO-00265,Prairie Wholesale Inc,WFX-2927,300,564.73,2026-05-29,Confirmed
SO-00266,Alpine Casuals SA,WFX-2652,1500,1165.34,2026-03-31,Confirmed
SO-00267,Rhine Mode GmbH,WFX-2546,1000,1564.9,2026-02-24,Delivered
SO-00268,Prairie Wholesale Inc,WFX-2678,300,1159.12,2026-07-29,In Production
SO-00269,Maple Leaf Fashion,WFX-2860,2000,623.47,2026-12-15,Shipped
SO-00270,Lion City Apparel,WFX-2589,5000,620.32,2025-04-03,Confirmed
SO-00271,Alpine Casuals SA,WFX-2687,500,710.86,2026-08-29,In Production
SO-00272,Nordic Retail AB,WFX-3142,800,1596.08,2025-08-11,Delivered
SO-00273,Sakura Style KK,WFX-3154,5000,825.43,2025-09-10,Confirmed
SO-00274,Prairie Wholesale Inc,WFX-2816,1000,1451.03,2025-05-16,Delivered
SO-00275,Nordic Retail AB,WFX-2818,3000,2109.85,2025-07-02,Delivered
SO-00276,Thames & Co,WFX-2786,2000,2047.09,2025-07-12,Shipped
SO-00277,Bayside Brands,WFX-2780,800,1789.43,2025-09-23,Cancelled
SO-00278,Iberia Moda SL,WFX-3215,1500,2216.63,2025-12-30,Confirmed
SO-00279,Sakura Style KK,WFX-3093,2000,1349.15,2026-06-20,Delivered
SO-00280,Prairie Wholesale Inc,WFX-2961,800,2062.52,2026-08-23,Confirmed
SO-00281,Thames & Co,WFX-2895,1000,2079.73,2026-03-21,Cancelled
SO-00282,Prairie Wholesale Inc,WFX-2856,1500,1027.65,2026-12-18,In Production
SO-00283,Gulf Fashion Trading,WFX-3492,1500,1371.6,2025-08-04,Confirmed
SO-00284,Bayside Brands,WFX-2765,5000,1253.98,2025-04-29,In Production
SO-00285,Prairie Wholesale Inc,WFX-3030,800,494.27,2026-04-24,Shipped
SO-00286,Sakura Style KK,WFX-3101,2000,1947.68,2026-11-06,Shipped
SO-00287,Nordic Retail AB,WFX-3103,2000,1828.24,2026-10-07,Delivered
SO-00288,Nordic Retail AB,WFX-2868,800,794.88,2025-12-09,Shipped
SO-00289,Prairie Wholesale Inc,WFX-2845,500,666.33,2026-01-02,In Production
SO-00290,Thames & Co,WFX-2814,5000,371.29,2025-01-23,Shipped
SO-00291,Lion City Apparel,WFX-2950,5000,1345.46,2026-12-13,Shipped
SO-00292,Alpine Casuals SA,WFX-2946,3000,1668.82,2025-09-07,Shipped
SO-00293,Alpine Casuals SA,WFX-2759,2000,1154.21,2026-05-10,Shipped
SO-00294,Outback Outfitters,WFX-3195,1500,894.19,2025-08-28,Confirmed
SO-00295,Gulf Fashion Trading,WFX-3282,500,1039.53,2025-10-03,Shipped
SO-00296,Lion City Apparel,WFX-3477,3000,570.83,2025-06-17,Shipped
SO-00297,Thames & Co,WFX-3025,1500,1708.87,2026-12-16,Delivered
SO-00298,Gulf Fashion Trading,WFX-3466,1000,2592.11,2026-08-05,Cancelled
SO-00299,Thames & Co,WFX-3270,800,1544.65,2025-02-25,Delivered
SO-00300,Maple Leaf Fashion,WFX-3494,1500,810.85,2025-05-25,Delivered
SO-00301,Sakura Style KK,WFX-3321,5000,1159.06,2026-04-17,In Production
SO-00302,Prairie Wholesale Inc,WFX-2501,800,900.19,2025-06-26,In Production
SO-00303,Rhine Mode GmbH,WFX-2809,500,1691.39,2025-07-28,In Production
SO-00304,Maple Leaf Fashion,WFX-2948,1000,703.09,2026-07-23,In Production
SO-00305,Sakura Style KK,WFX-3366,300,1798.78,2025-12-19,Shipped
SO-00306,Iberia Moda SL,WFX-2603,3000,1470.55,2026-04-29,Delivered
SO-00307,Outback Outfitters,WFX-3185,5000,631.52,2025-04-09,Delivered
SO-00308,Thames & Co,WFX-2897,2000,374.44,2025-05-17,Delivered
SO-00309,Sakura Style KK,WFX-2910,1500,661.12,2026-03-11,Delivered
SO-00310,Outback Outfitters,WFX-3112,500,483.7,2026-11-17,In Production
SO-00311,Lion City Apparel,WFX-3259,300,901.32,2026-09-16,In Production
SO-00312,Bayside Brands,WFX-2683,2000,911.4,2026-05-29,In Production
SO-00313,Nordic Retail AB,WFX-3343,3000,981.43,2026-10-24,Delivered
SO-00314,Thames & Co,WFX-2736,5000,799.12,2025-08-05,In Production
SO-00315,Outback Outfitters,WFX-2810,500,1128.59,2026-11-01,In Production
SO-00316,Outback Outfitters,WFX-2685,800,784.91,2026-02-01,In Production
SO-00317,Iberia Moda SL,WFX-3192,300,840.82,2026-03-08,In Production
SO-00318,Thames & Co,WFX-2684,3000,818.18,2025-04-19,Delivered
SO-00319,Maple Leaf Fashion,WFX-2977,2000,2141.18,2025-04-14,Delivered
SO-00320,Outback Outfitters,WFX-3172,300,3230.0,2025-05-12,In Production
SO-00321,Gulf Fashion Trading,WFX-3089,3000,1101.35,2025-01-12,Delivered
SO-00322,Prairie Wholesale Inc,WFX-2998,3000,1479.54,2025-02-25,Shipped
SO-00323,Outback Outfitters,WFX-2811,1500,1475.22,2025-04-29,Delivered
SO-00324,Iberia Moda SL,WFX-3119,2000,1136.61,2026-12-31,Delivered
SO-00325,Gulf Fashion Trading,WFX-2844,2000,2766.75,2025-07-03,Confirmed
SO-00326,Gulf Fashion Trading,WFX-2935,3000,958.89,2025-03-23,Delivered
SO-00327,Nordic Retail AB,WFX-2654,2000,997.1,2026-12-26,Delivered
SO-00328,Rhine Mode GmbH,WFX-3105,1000,975.5,2026-09-22,Shipped
SO-00329,Iberia Moda SL,WFX-3246,3000,764.03,2025-10-16,Confirmed
